file,target
605162.wav,1 1 1 1 1 1 0
611057.wav,1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 0
611694.wav,1
611695.wav,1
613784.wav,1 1 1 1
614223.wav,1
614225.wav,1 1 1 1 1 1
614226.wav,1 1 1 1
614228.wav,1 1 1 1 1 1
614229.wav,1
614230.wav,1 1 1 1 1 1 1 1 1 1 1 1
614231.wav,1
614232.wav,1 1 1 1 1 1 1 1 0
614233.wav,1 1 1 1 1 1 1 1 1
614234.wav,1 1 1
614235.wav,1 1 1 1 1 0
614236.wav,1 1 1
614237.wav,1 1 1
614844.wav,1 1
614963.wav,1
616690.wav,1 1
617145.wav,1 1 1 1 1 1
617147.wav,1 1 1 1 1 1 1 1 1
617150.wav,1 1 1
617153.wav,1 1 1 1 1
617156.wav,1
617157.wav,1 1
617159.wav,1 1 1 1 1 1 1 1 1 1 1 1 1
617167.wav,1 1 1 1 1
618235.wav,1
618994.wav,1
618996.wav,1 1 1 1 1 1 1 1
618998.wav,1 1 1
618999.wav,1 1 1 1 1
619000.wav,1 1 0
619001.wav,1 1 1 1 1 1 1 1
619002.wav,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
619003.wav,1 1 1
619004.wav,1 1 1 1 1 1 1 1 1 1
619005.wav,1 1 1 1 1 1 1
619006.wav,1 1 1 1 1 1 1 1 1 1 1 1
619007.wav,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
619008.wav,1 1 1 1 1 1
619009.wav,1 1 1 1 1 1
619010.wav,1 1
619011.wav,1 1 1 1 1 1 1 1
619012.wav,1 1 1
619013.wav,1 1 1
619014.wav,1 1 1 1
619015.wav,1 1 1 1 1 1
619016.wav,1 1 1 1 1 1 1
619017.wav,1 1 1 1
619018.wav,1 1 1 1 1 1 1 1 1 1 1
619730.wav,1 1 1 1
619732.wav,1 1 1 1 1
620926.wav,1 1 1 1
626619.wav,1 1
626621.wav,1 1
626651.wav,1 1 1
626652.wav,1
626653.wav,1 1 1 1
627534.wav,1 1 1 1 1
627535.wav,1 1 1 1
627536.wav,1 1 1 1 1
627538.wav,1 1 1
627539.wav,1 1
630952.wav,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
632504.wav,1
632505.wav,1 1 1
632506.wav,1 1
637920.wav,0 0
638785.wav,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
638990.wav,1 1 0
638991.wav,1 1 1
638992.wav,1 1
639798.wav,1 1 1 1 1 1 1 1 1 1 1 1
639799.wav,1 1 1 1 1 1 1 1 1 1
639800.wav,1 1 1
641146.wav,1 1
642177.wav,1 1 1 1 1
642178.wav,1 1 1 1 1 1 1 1 1 1 1 1
642179.wav,1 1 1
646274.wav,1 1 1 1 1 1 1
648578.wav,1 1 1 1 1 0
650559.wav,1 1 1 1 1
650560.wav,1 1 1 1 1 1
650701.wav,1 1
650811.wav,1 1 1 1
667449.wav,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
680116.wav,1
680117.wav,1 1 1
681829.wav,1 1 0
682670.wav,1 1 1 0
682838.wav,1 1 0
683437.wav,1 1
684092.wav,1 1 1 0
684124.wav,1 0
684173.wav,1 1 1 1 1 1
687562.wav,1 1 1
687563.wav,1 1 1
687564.wav,1 1 1 1 1 1 1 1 1 0
692370.wav,1 1 1 1 1 1 0
692796.wav,1 1 1
692811.wav,1 1 1 1 1
692812.wav,1 1 1 1 1
692813.wav,1 1 1 1 1
692814.wav,1 1 1 1 1
692815.wav,1 1 1 1 1
692816.wav,1 1 1 0
692817.wav,1 1 1 1
692818.wav,1 1 1 1 1
692819.wav,1 1 1 1
692820.wav,1 1 1 1 1
692821.wav,1 1 1
692822.wav,1 1 1 1 1
692823.wav,1 1 1 1
693048.wav,1 1 1 1
693049.wav,1 1
693050.wav,1 1 1 1
695320.wav,1 1 1 1 1 1 0
69801.wav,1 1
77421.wav,1 1 1 1 1 1
77423.wav,1 1 1 1 1 1 1 1
90382.wav,1 1 1 1 0
100976.wav,1 1 1 1 1 1 1
107048.wav,1 1 1 1 1 1 1 1 1 1
111873.wav,1 0
112392.wav,1 1 1 1 1
112447.wav,1
113480.wav,1 1 1 1 1 1
113483.wav,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
115595.wav,1 1 1
115596.wav,1 1 1 1 1 1 1 1 1 1
115597.wav,1 1 1 1 1 1 1 1
115598.wav,1 1 1 1 1
115599.wav,1 1
115600.wav,1 1 1 1 1 1
115642.wav,1 1 1 1 1 1 1 1 0
118265.wav,1 1 1 1
128128.wav,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
128668.wav,1 1 1 1
128669.wav,1 1 1 1
128671.wav,1 1
128678.wav,1 1
128680.wav,1 1
128684.wav,1 1 1
128856.wav,1 1 1
129109.wav,1 1 1 1 1 1 1
129460.wav,1 1 1 1 1 1 1 1
130443.wav,1 1 1 1 0
130445.wav,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
134016.wav,1 1 1 1 1 1 1 1
138244.wav,1 0 1 1
138254.wav,1 1 1 1
141708.wav,1 1 1 1 1
144148.wav,1 1 1 1
149166.wav,1 1
149167.wav,1 0
149178.wav,1 1
152022.wav,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
152480.wav,1 1 1 1 1 0 1
152747.wav,1 1 1 1 1 1 1 1 1 1 1 1 1
152950.wav,1 1 1 1 1 1
153290.wav,1 1 1 1 1 1 0
153592.wav,1
156266.wav,1 1 1 1 1 1
156267.wav,1 1 1 1 1 0
158097.wav,1 1 1
167405.wav,1 1 1
167406.wav,1 1 1 1 1 1 1 1 1 1 1
167503.wav,1 1 1 0 0
168262.wav,1 1
168551.wav,1 1 1 1 1 1 1 1 1 1 1 1 1 1
169545.wav,1 1 1
171330.wav,1 1 1 1
171369.wav,1 1 1
171746.wav,1 1
171753.wav,1 1 1
171755.wav,1 1 1 1 1 1 1
171756.wav,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
171758.wav,1 1 1
171759.wav,1 1 1
171760.wav,0 1 1 1 1 1 1 1 1 1 1 1
172075.wav,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
172086.wav,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
172363.wav,1 1 1 1 0
172364.wav,1 1 1 1 1 1 1 1 1 1 1
172366.wav,1 1 1
174612.wav,1 1 1 1 1
190075.wav,1 1 1 1 1 1 1 1 1
200564.wav,1 1
205098.wav,1 1 1 1 1 0
205530.wav,1 1 1 1 1 1 1 1 1 1
205532.wav,1 1 1 1 1 1 1 1
205534.wav,1 1 1 1 1 1 1
205676.wav,1 1 1 1 1 1 1
206539.wav,1 1
207465.wav,1 1 1 1
208556.wav,0 1 1 1 0 1
209317.wav,1 1
214125.wav,1 1 1 1 1 1 1
216985.wav,1 1 1
216986.wav,1 1 0 1
218751.wav,1 0 1 0 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1
218753.wav,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
218754.wav,1 1 1 1 1 1 1 1 1 1 1 0
218756.wav,1 0
218757.wav,1 0
218758.wav,1 1 1 1 1 1 1
218759.wav,1 1 1 1 1 0
218760.wav,1 1 1 1 1 1 1 1
218762.wav,1 1 1 1 1 1 1
218765.wav,1 1 1 1 1
218766.wav,1 1 1 1 1
218767.wav,1 1 1 1 1 1 1 0
218769.wav,1
218772.wav,1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
218773.wav,1 1 1 1 0
218775.wav,1 1 1 1 1 1 1
218776.wav,1 1 1 1 1 1 0
218778.wav,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
236475.wav,1 1 1 1 1
240481.wav,1 1 1 1 1
254576.wav,1 1 1 1 1 1 1 1 1 1
254577.wav,1 1 1 1 1
25622.wav,1 1
263907.wav,1 1 1 1 1 1 1 1 1
263908.wav,1 0 1
283903.wav,1 1 1 1 1 1
284478.wav,1 0 0 0 0 1
287573.wav,1 0
288185.wav,1 1 0
289567.wav,1 1 1 1
293016.wav,1 1 1 1
294819.wav,1 0
298953.wav,1 1 1 1 1 1 1 1
30884.wav,1 1 1 1 1 1 1
30885.wav,1 1 1 1 1 1 1 1 1 1
30886.wav,1 1 0 1 1 1 1 1 1
30887.wav,1 1 1 1 1 1
309038.wav,1 1 1 1 1 1 1 1 1 1 1 0
31603.wav,1 1 1 1 1 1 0 1 1 0 1 1 1
322824.wav,1 1 1 1 1 1 1 0
322836.wav,1 1 1 1 1 1
324764.wav,1 1 1
331302.wav,1 1 1 1
336152.wav,1 1 1 1
336153.wav,1 1
336154.wav,1 1 0
338595.wav,1 1 1 1
342798.wav,1 1 1
343263.wav,1 1 1 1 1 1 0
343264.wav,1 0 1 1 0 0
343271.wav,1 1 1 1 1 1
343272.wav,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
350460.wav,1 1 1 1
350461.wav,1 1 1 1 1
35068.wav,1 0
351358.wav,1 1 1 1 1 1 1
351508.wav,1 1 1 1 0
352334.wav,1 1 1
352335.wav,1
353703.wav,1 1 1 1 1 1 1
353704.wav,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
353705.wav,1 1 0
353710.wav,1 1 1
353871.wav,1 1
354428.wav,1 1
356249.wav,1 1 1 0
356797.wav,1 1 1 1 1 1 1
356799.wav,1 1 1 1 1 1 1
359282.wav,1 0 0
360530.wav,1 1
361603.wav,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
362652.wav,1 1 1
362653.wav,1 1 1 1
362654.wav,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
362655.wav,1 1 1 1 1 1 1
36320.wav,1 1 1 1
368329.wav,1 1 1
377949.wav,1 1 1 1 1 1 1 1 1 1 1 1 1
377950.wav,1 1 1 1 1 1 1 1 1 1 1 1
377952.wav,1 1 1
377954.wav,1 1 1 1 1 1 1 1 1 1 1
382977.wav,1 1 1 1 1 1 1 1 1 1 1 1 1 1
382978.wav,1 1 1
382981.wav,1 1 1 1 1 1
382982.wav,1 1 1 1 1
383245.wav,1 1
383524.wav,1 1 1 1 1 1 1 1 1
383640.wav,1 1 1 1 1 1 1 1 1 1 1 1
383641.wav,1 1 1 1 1 1 1 1
383642.wav,1 1 1 1 1 1 1
388703.wav,1 1
388931.wav,1 1 0
389991.wav,1 1 0
390060.wav,1 1 1 1 1
390508.wav,1 1
391312.wav,1 1 1 0
391795.wav,1 1 1 1 1 1 0
391860.wav,1 1 1 1 1 1 1 1
391919.wav,1 0
391920.wav,1 1
391921.wav,1 1 1 0
391922.wav,1 0
391924.wav,1 1 1 0
391925.wav,1 1 1 1 1 0
391926.wav,1 1 0
391927.wav,1 1 1 1 1
392983.wav,1
393199.wav,1 1
393241.wav,1 1 1 1
393582.wav,1 1 1
393594.wav,1 1 1
393596.wav,1
393597.wav,1 1
393607.wav,1 1 1
393760.wav,1 1
394091.wav,1 1
394092.wav,1 1 1 1 1 1 0
394093.wav,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
394130.wav,1 1
394131.wav,1 1
394300.wav,1 1 1 1 1
394761.wav,1 1
394762.wav,1
394965.wav,1 1 1 1 1 1 1 1
395211.wav,1 1 1 1 1
396349.wav,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
396879.wav,1 0 0
397442.wav,1 1 1 1
397443.wav,1
397786.wav,1 1 1 1 1
398876.wav,1 1 1
398879.wav,1 1
404554.wav,1 1 1 0
404555.wav,1 1 1 1 1 1 1
41075.wav,1 1 1 0
41076.wav,1 1 1 1 1 1 1 1 1
41077.wav,1 1 1
413171.wav,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
413172.wav,1 1 1 1 1 1 1 1 1 1 1 1
416053.wav,1 1 1
425144.wav,1 1 1 1
425145.wav,1 1 1 1 1 1 1 1
425146.wav,1 1 1
425147.wav,1 1 1
425148.wav,1 1 1 1
425149.wav,1 1 1 1
428955.wav,1 1 1 0
428956.wav,1 1 1 1 1 1 1 1
429202.wav,1 1 1 1 1 1 1 1
430003.wav,1 1 1 1
432022.wav,1 1 1 1 1
432023.wav,1 1 1 1 0
432024.wav,1 1 1 1
435239.wav,1 1 0
435240.wav,1 0
435241.wav,1 1 1 1
435242.wav,1 1 1
435243.wav,1 1 1 1
435244.wav,1
435245.wav,1 1 1
435246.wav,1 1 1 1 1
435261.wav,1 1 1
435382.wav,1 1
435383.wav,1 1 1 0
435384.wav,1 1 1 1 1
435385.wav,1 1 1
437864.wav,1 1 1 1 1 1 1 1 1 1 1
437865.wav,1 1 1 1 1
437866.wav,1 1 1 1 1 1
437867.wav,1 1 1 1 1 1 1 1 1 1 1
437868.wav,1 1 1 1 1 1
438134.wav,1 1 1 1 1 1
43844.wav,1 1
438453.wav,1 1 0
438866.wav,1 1
438867.wav,1 1
440688.wav,1 1 0
441209.wav,1 1
441264.wav,1 1 1 1 1 1 1 1 1
441588.wav,1 1 1 1 1
441589.wav,1 1 0
441590.wav,1 1 1
441591.wav,1 1
441593.wav,1 1 1 0
441845.wav,1
442674.wav,1 1 1 1 1 1 1 1
443141.wav,1 1 1 1
444032.wav,1 1 1 1 1
445111.wav,1 1
445112.wav,1 1 1
445113.wav,1 1
445114.wav,1 1 1
445187.wav,1 1 1 1 1
446867.wav,1 1 1
448470.wav,1
448473.wav,1 1
452845.wav,1 1
457204.wav,1 1 1 1 1
460785.wav,1 1 1 1 1 0
464223.wav,1 1 1
470813.wav,1 1 1
470814.wav,1 1 1
474447.wav,1 1 1 1 1 1 1
478951.wav,1 1 1
478952.wav,1 1 1
478953.wav,1 1 1 1 1
478954.wav,1 1 1 1 1 1
478955.wav,1 1 1 1
478956.wav,1 1
478957.wav,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
478958.wav,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
479145.wav,1 1 1 1 1 1 1 1 1 1 1 1
479147.wav,1 1 1 0
479148.wav,1 1 1 1 1 1 1 1 1 1 1
479149.wav,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
479150.wav,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
481085.wav,1 1
483279.wav,1 1 1 1 1
485176.wav,1 0
485861.wav,1 1 1 1 0
486004.wav,1 1 1
486718.wav,1 1
488004.wav,1 1
488031.wav,1 1 1 0
488033.wav,1
488034.wav,1 1
488037.wav,1 1 1 1
488038.wav,1 1
488039.wav,1 1 0
488040.wav,1 1 1
488041.wav,1 1 1
488042.wav,1 1
488202.wav,1 1 1 1 1 1
488203.wav,1 1 1 1
488204.wav,1 1 1 1 1 1 1 1 1 1
488205.wav,1 1 1 1 1 1 1 1 1 1 1 1
488206.wav,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0 0 0 1 0 1 0 1 1 0 1 1 1 1 1 1
488207.wav,1 1 1 1 1 1 0
488208.wav,0
488210.wav,1 1 1
489915.wav,1 1 1 1 1 1 1 0
489916.wav,1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1
489917.wav,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
489918.wav,1 1 1 1 1 1 0
489919.wav,1 1 1
489920.wav,1 1 1 1 1
489921.wav,1 1 1 0
489922.wav,1 1 1 1 1 1 1 0
489923.wav,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
489924.wav,1 1 1 1 1 1 1 1 0
493425.wav,1 1 1
500745.wav,1 1 1 0
503379.wav,1 1
503740.wav,1 1 0
504877.wav,1 1 0
505076.wav,1 1 1 1 1 1
505135.wav,1 1 0
507032.wav,1 1 1 1
508024.wav,1 1 1 0
513651.wav,0 1 0
514125.wav,1 1 1 1 0
530512.wav,1 1 1 1
534876.wav,1 1 1 1 1 1 1 1 1
535755.wav,1 1
535756.wav,1
535757.wav,1
535760.wav,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
535761.wav,1 1 1 1
535762.wav,1 1
535763.wav,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
535764.wav,1
535765.wav,1 1 1 1 1
535766.wav,1
535767.wav,1
535768.wav,1 1 1
535769.wav,1 1 1 1
535770.wav,1
535772.wav,1 1 1 1 1 1
535773.wav,1
535774.wav,1 1 1 1 1
535775.wav,1 1 1 1
535776.wav,1 1
535777.wav,1
535778.wav,1 1 1 1
535779.wav,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
535780.wav,1 1 1 1 1 1 1 1 1
536918.wav,1 1 1 1 1
540516.wav,1 1
552770.wav,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
567556.wav,1 1 1 1 1 1
571267.wav,1 1
574295.wav,1 1 0
583715.wav,1 1 1
58550.wav,1 1 1 1 1 1
589384.wav,1 1
589748.wav,1 0
589966.wav,1 1 1
590162.wav,1
591127.wav,1 1 1 0
591292.wav,1
591346.wav,1
591347.wav,1
592902.wav,1 1 1 1 0
593202.wav,1 1 1 1 1 1 1
593572.wav,1 0 0
594295.wav,1 1 1 1 0
594330.wav,1 1 1 1 0
594605.wav,1 1 1 1
595602.wav,1 1 1 1 1 1 1 0
597290.wav,1
597291.wav,1
598785.wav,1 1
598950.wav,1 1 0
599176.wav,1 1
599431.wav,1 1 1
599650.wav,1 1 1 1 1 1
600088.wav,1 1
600151.wav,1 1 1 1
600204.wav,1
601144.wav,1 1 1 1 1 0 0
601588.wav,1 1
602191.wav,1 1 1
603111.wav,1 1 1 1 1
603130.wav,1
604215.wav,1 1 1 1 1 1 1 1 1 1 0
607060.wav,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
607762.wav,1
610600.wav,1 1 1 0
613369.wav,1 1
614178.wav,1 1 1 1
616532.wav,1 1 1
617705.wav,1
620749.wav,1 1 1 1 1 1 1 1
622114.wav,1 1
622945.wav,1 1
623253.wav,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
626750.wav,1 1 0
628446.wav,1 1 1 1 1 1 1 1 1 1 1
629569.wav,1
637842.wav,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
641879.wav,1 1 1
641880.wav,1 1
641882.wav,1 1
642109.wav,1
642110.wav,1 1 1
642111.wav,1 1 1 1 1 1 1 1 1
645820.wav,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1
645822.wav,1 1 1 1 1
645823.wav,1 1 1 0
64630.wav,1 1 1 1 1 1
657040.wav,1 1 1 1 1
65865.wav,1 1 1
663032.wav,1 1 1 1 1
67142.wav,1 1 1 1 1 1 1 1 1 1 1 1 1 0
673441.wav,1 1 1
673442.wav,1 1 1 1 1 1 1
674225.wav,1 1 1
674757.wav,1 1 1 1 1
674758.wav,1 1 1 1 1 1 1 1 1 1
674759.wav,1 1 1 1 1 1
674780.wav,1 1 1 1 1 1 1 1 1 0
674866.wav,1 1 1 0
674871.wav,1 1 0 0 0
675172.wav,1 1 1 1 1
675173.wav,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
675324.wav,1 1 1 1 1 1 1 1 1
675360.wav,1 1 1 1 1 1 1 1 1 0
675600.wav,1 0 1 0
675889.wav,1 1 1 1 1 0
677168.wav,1 1 1 1
680317.wav,1 0
680536.wav,1 1 1 1 1 1 1 1 1 1 1 1 0
682504.wav,1 1
682505.wav,1
683652.wav,1 0
684785.wav,1 1
686352.wav,1 1 1 1 1
686353.wav,1 1
687222.wav,1 1 1 1 1 1 1 1 1
687246.wav,1 1 1 1 0
687647.wav,1 1 1 1 0
687648.wav,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
687649.wav,1 1 1 1 1 1 1 1 1
688247.wav,1 1 1 1 1 1 1 1
688248.wav,1 1 1
688249.wav,1 1 1 1
688271.wav,1 1 1 1 1
688272.wav,1 1 1 1
688273.wav,1 1 1
688274.wav,1 1 1 1 1
688275.wav,1 1 1 1 1
688277.wav,1 1 1
688278.wav,1 1
688279.wav,1 1
688280.wav,1 1 1 1
688281.wav,1 1 1 1 1 1
688282.wav,1 1 1 1 1 1
688283.wav,1 1 1
688284.wav,1 1
688285.wav,1 1 1
689276.wav,1 1 1
691309.wav,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
696349.wav,1 1 1 1 1 1
696350.wav,1 1 1 1 1 1
696351.wav,1 1 1 1 1 1 1 1 1 1 1 0
696352.wav,1 1 1 1
696590.wav,1 1 1
698908.wav,1 1 1 1 1 1 1 1 0
699250.wav,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
701212.wav,1 1 1
701213.wav,1 1 1 1 1 1 1 0
703581.wav,1 1 1
87487.wav,1 1 1 1 1 1 0
92045.wav,1 1 1 1
92046.wav,1 1 1 1
93659.wav,1 1 1 1 1 1 1 1 1 1 1 1 1 1
135137.wav,1 1 1 1
138977.wav,1 1 1 1 1 1 1 1
139101.wav,1 1 1 1 1 1 1 1 1 1
140677.wav,1 1 1
140678.wav,1 1 1 1 1 1 1 1 1 1 1
140679.wav,1 1 1 1 1 1 1 1 1
140680.wav,1 1 1 1 1 1 1 1 1 1 1 1 1
140681.wav,1 1 1 1 1 1 1 1
140682.wav,1 1 1 1
140732.wav,1 1 1
142523.wav,1 1 1 1 1 1 1
142524.wav,1 1 1
142525.wav,1 1 1 1 1 1 1 1 1 1 1
142527.wav,1 1 1
142528.wav,1 1 1 0
142529.wav,1 1 1 1 1 1 1 1 1
142530.wav,1 1
142532.wav,1 1 1 1 1 1
142533.wav,1 1 1
142534.wav,1 1 1 1
142535.wav,1 1 1 1
142562.wav,1 1 1
142564.wav,1 1 1 1 1 1 1 1 1 1 1
